Technos,Sous-élément,Statut,Type,élément parent
PHPUnit,,Terminé,Testing,
Objectif-C,,Terminé,Mobile,iOS (Biblioth%C3%A8que%20Tech/Technos/iOS%203278a87c98a781689616c8f0599dcceb.html)
NestJS,,Terminé,Framework,
Clean Architecture,,Terminé,Architecture,
"JavaScript ",,Terminé,Langages,
Cypress,,Terminé,Testing,
Varnish,,Terminé,Gestion de cache,
Autres styles de programmation,,Terminé,Normes/modèles de programmation,
PHP,,Terminé,Langages,
Redis,,Terminé,Gestion de cache,
ZeroMQ,,Terminé,Message Broker,
Programmation orientée objet,,Terminé,Normes/modèles de programmation,
Astro.js,,Terminé,Framework,
Deno,,Terminé,Environnement de Développement,
API REST,,Terminé,Gestion APIs,
Apache Kafka,,Terminé,Message Broker,
Cross-Platform,"React Native (Biblioth%C3%A8que%20Tech/Technos/React%20Native%203278a87c98a781da85c1eb8b4903393e.html), Expo (Biblioth%C3%A8que%20Tech/Technos/Expo%203288a87c98a7811a995ee4392aa9a42d.html), Flutter (Biblioth%C3%A8que%20Tech/Technos/Flutter%203278a87c98a781cc92b3e3586e93437d.html), Cordova (Biblioth%C3%A8que%20Tech/Technos/Cordova%203278a87c98a7819dbde2f7491f4b8ea2.html), Capacitor (Biblioth%C3%A8que%20Tech/Technos/Capacitor%203288a87c98a781e48fa5fa26144c9b8f.html), Kotlin Multiplatform Mobile (Biblioth%C3%A8que%20Tech/Technos/Kotlin%20Multiplatform%20Mobile%203278a87c98a781a3ab45d0158d02500b.html), Xamarin (Biblioth%C3%A8que%20Tech/Technos/Xamarin%203278a87c98a78163b9e6e7df8a91dc26.html)",Pas commencé,Mobile,
Nuxt.js,,Terminé,Framework,
Svelte,,Terminé,Bibliothèques,
React Native,,Terminé,Mobile,Cross-Platform (Biblioth%C3%A8que%20Tech/Technos/Cross-Platform%203278a87c98a7812f8168e09b2fe210f2.html)
Express.js,,Terminé,Framework,
Architecture Hexagonale,,Terminé,Architecture,
Expo,,Terminé,Mobile,Cross-Platform (Biblioth%C3%A8que%20Tech/Technos/Cross-Platform%203278a87c98a7812f8168e09b2fe210f2.html)
Capacitor,,Terminé,Mobile,Cross-Platform (Biblioth%C3%A8que%20Tech/Technos/Cross-Platform%203278a87c98a7812f8168e09b2fe210f2.html)
Vite,,Terminé,Outils de build,
npm / pnpm / Yarn,,Terminé,Outils de build,
Webpack,,Terminé,Outils de build,
Composer,,Terminé,Outils de build,
